generation,id,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9
1,11,287.5045596274671,-468.3766262589361,-485.9535337214391,7.70514702546501,-338.76153550211166,195.41671355487426,301.8404937368915,-187.69228403234797,332.99071046055826,-327.56512762993486
1,12,-71.22868536268447,-423.8526383838425,-207.51975640845677,142.81430333925448,-144.79167101702438,463.1605301191604,-206.84851730719055,-327.6689592756759,408.36676996072606,-235.22246757213384
1,13,121.05595112890694,-334.0616084214074,-445.60347577456304,40.81697027383245,-360.4960632045602,-43.20129531498304,74.46233115338362,405.1552028014553,-41.121429521276184,-381.41603929978163
1,14,54.6138193577051,-105.51461139350357,230.45596462348135,-368.49549239677424,-162.3939498282756,132.0538872226765,-293.2597921461567,237.19738807951057,-279.4728996073893,-41.14336926098184
1,15,262.36357600480017,-414.5088303345226,-183.55027878188025,-194.94634079960673,-169.6480889788948,200.3495125250481,317.4714450987741,-293.4260742519979,-3.8858399662840952,-482.12317195362164
1,16,325.129082111055,-266.54513161594474,362.75248365571167,-163.28572568087708,79.64691765453313,181.09955310489545,-12.463295874353491,-82.58450626076205,120.96700920115893,95.04212571509788
1,17,-15.299242231353276,222.30200814852992,457.150042799649,236.27038831091932,399.2704205764528,323.44127406679377,-20.326949082042006,192.5184575860826,-239.63564912516154,-89.65359451669451
1,18,-192.9274081493033,-139.08115783451478,180.30563965956844,-415.4829264205495,399.47978231657135,-72.82298256574148,-282.8392444083625,-250.73787993038255,264.77618017774637,-415.0871019759588
1,19,-478.96119238669,331.29037715503057,-221.23709606930476,414.61957088183067,-155.26322127031136,245.25252335830896,391.3388601538527,-440.432389585086,-396.20519833153367,-447.4545420284161
1,20,113.89335113335198,-439.7311579221751,120.13018579646837,57.52224483229577,-122.06094088127185,-9.051783740460678,483.63613322257595,-325.6717279678362,322.9582587424155,77.102730893292
1,21,-401.8714406063547,-481.0907062854745,-40.5220514844691,-451.84768726143477,-296.2407588791524,74.2172078113515,-293.29081704057023,492.93211289397004,427.8428252218587,428.8701636399875
1,22,228.82005395649435,212.58137922251865,451.055061630341,146.78631765102705,-303.23112760977244,-356.8384780544991,218.53281839814963,-314.9887684474297,310.0290231737421,-227.62979891049883
1,23,-333.36522763027824,-17.94443761010365,208.61611214268078,-357.2664136656386,203.10661143296488,-488.2257172801565,107.41509423748823,-147.26342213723711,164.01955291903482,-416.2159706016384
1,24,-390.84894347195075,-96.12104684976362,11.232402884969417,-128.970932151486,-407.3563953569195,-40.360136023054,-261.7188162731383,-129.45925578733699,142.62215103498215,-140.96370918303592
1,25,-166.5901207225815,-19.16594112861867,-270.01234060201443,-324.69957260949866,-177.67848301195,-393.3516542517768,-321.16475148677347,335.3102024908592,349.513818617733,-347.2624496618116
1,26,-270.09035684174876,450.93859120721413,-146.57984543204185,-308.58590721232105,314.7325537673447,-114.29848308041932,227.14065363740428,375.72212764837593,262.26837959878526,-121.73589694601537
1,27,6.374816243935641,-139.71208016306377,174.3659601983236,-278.0097270831995,-56.10697557437061,159.99455292346533,-183.72172516107065,-350.06730048817934,-448.31237363526634,-39.968533025602994
1,28,453.565947996187,-333.9174560897692,-382.9766373743446,-344.9342816347606,373.44974550339043,-120.54935398553425,162.67412245179526,98.31819642371977,382.6311475690935,-174.94431150875567
1,29,394.81899106996605,-407.7930620338085,-450.78347398342146,321.920382227553,410.0844041627888,208.98366420850414,-132.19572667019764,-491.2716553891604,288.4819127548701,31.588714843549496
1,30,-63.87501663095276,126.05472429629322,-471.85019384975067,47.548564132036404,207.98195957444864,-73.73425422506699,-257.2195172067543,-166.9261558672357,-207.96451538778837,315.36896779532094
1,31,185.96290549802904,-277.02219621201374,424.75924592230456,-403.378863759445,206.80145498598847,312.4954698716592,-390.9404154051107,-279.03208184712855,93.90161474929596,-68.79140977955342
1,32,455.83487868826455,492.42156020384914,-346.04757243179415,-272.8713008496939,365.1322128354616,-23.451229798892825,-167.17956189968788,-363.67037121890087,54.33011349356093,320.311979607332
1,33,151.8616031749939,93.62023288050591,-32.51336930872486,-323.97928646041544,-480.662360522655,-247.410660042933,43.164812848500674,-32.20074296284872,-354.0679186617349,301.6631824023699
